leaid	FIPST	STNAME	LEANAME07	CDID07	CDAREA07
1912810	19	Iowa	GRAETTINGER COMM SCHOOL DISTRICT	1904	96.610473871
1913080	19	Iowa	GREENE COMM SCHOOL DISTRICT	1904	30.51803406
1913080	19	Iowa	GREENE COMM SCHOOL DISTRICT	1901	89.992053245
1913110	19	Iowa	NODAWAY VALLEY COMM SCHOOL DISTRICT	1904	0.4581816595
1913110	19	Iowa	NODAWAY VALLEY COMM SCHOOL DISTRICT	1905	279.72172188
1913200	19	Iowa	GRINNELL-NEWBURG COMM SCHOOL DISTRICT	1903	220.79362839
1913230	19	Iowa	GRISWOLD COMM SCHOOL DISTRICT	1905	241.17840585
1913290	19	Iowa	GRUNDY CENTER COMM SCHOOL DISTRICT	1903	113.06603428
1913320	19	Iowa	GUTHRIE CENTER COMM SCHOOL DISTRICT	1905	183.81885476
1913350	19	Iowa	CLAYTON RIDGE COMM SCHOOL DISTRICT	1901	214.09377302
1913380	19	Iowa	H-L-V COMM SCHOOL DISTRICT	1903	126.52326304
1913440	19	Iowa	HAMBURG COMM SCHOOL DISTRICT	1905	96.239165587
1913470	19	Iowa	HAMPTON-DUMONT COMM SCHOOL DISTRICT	1901	72.367926801
1913470	19	Iowa	HAMPTON-DUMONT COMM SCHOOL DISTRICT	1904	164.77829357
1913500	19	Iowa	HARLAN COMM SCHOOL DISTRICT	1905	278.55334774
1913530	19	Iowa	HARMONY COMM SCHOOL DISTRICT	1902	165.69393796
1913660	19	Iowa	HARTLEY-MELVIN-SANBORN COMM SCHOOL DISTRICT	1905	235.79243379
1914010	19	Iowa	HIGHLAND COMM SCHOOL DISTRICT	1902	120.41472856
1914160	19	Iowa	HINTON COMM SCHOOL DISTRICT	1905	127.61163836
1914280	19	Iowa	HOWARD-WINNESHIEK COMM SCHOOL DISTRICT	1904	425.39498793
1914310	19	Iowa	HUBBARD-RADCLIFFE COMM SCHOOL DISTRICT	1904	192.29801721
1914340	19	Iowa	HUDSON COMM SCHOOL DISTRICT	1901	62.316322701
1914370	19	Iowa	HUMBOLDT COMM SCHOOL DISTRICT	1904	218.13852033
1914580	19	Iowa	INDEPENDENCE COMM SCHOOL DISTRICT	1903	0.9308120347
1914580	19	Iowa	INDEPENDENCE COMM SCHOOL DISTRICT	1901	172.24223317
1914640	19	Iowa	INDIANOLA COMM SCHOOL DISTRICT	1904	160.48508063
1914670	19	Iowa	INTERSTATE 35 COMM SCHOOL DISTRICT	1905	29.793596341
1914670	19	Iowa	INTERSTATE 35 COMM SCHOOL DISTRICT	1904	155.69451171
1914700	19	Iowa	IOWA CITY COMM SCHOOL DISTRICT	1902	130.52639703
1914730	19	Iowa	IOWA FALLS COMM SCHOOL DISTRICT	1904	134.53041018
1914850	19	Iowa	IOWA VALLEY COMM SCHOOL DISTRICT	1903	103.29213842
1914880	19	Iowa	IKM COMM SCHOOL DISTRICT	1905	203.63143459
1915180	19	Iowa	JANESVILLE CONSOLIDATED SCHOOL DISTRICT	1901	42.062422683
1915210	19	Iowa	JEFFERSON-SCRANTON COMM SCHOOL DISTRICT	1904	243.25181275
1915330	19	Iowa	JESUP COMM SCHOOL DISTRICT	1901	140.5132128
1915450	19	Iowa	JOHNSTON COMM SCHOOL DISTRICT	1903	38.295663532
1915630	19	Iowa	KEOKUK COMM SCHOOL DISTRICT	1902	45.301026105
1915660	19	Iowa	KEOTA COMM SCHOOL DISTRICT	1902	57.931991191
1915660	19	Iowa	KEOTA COMM SCHOOL DISTRICT	1903	79.606229064
1915750	19	Iowa	KINGSLEY-PIERSON COMM SCHOOL DISTRICT	1905	133.38690951
1915840	19	Iowa	KNOXVILLE COMM SCHOOL DISTRICT	1903	151.02908855
1916110	19	Iowa	LAKE MILLS COMM SCHOOL DISTRICT	1904	178.27524954
1916140	19	Iowa	HARRIS-LAKE PARK COMM SCHOOL DISTRICT	1905	135.38394425
1916320	19	Iowa	LAMONI COMM SCHOOL DISTRICT	1905	106.4943131
1916420	19	Iowa	LAURENS-MARATHON COMM SCHOOL DISTRICT	1905	44.50974908
1916420	19	Iowa	LAURENS-MARATHON COMM SCHOOL DISTRICT	1904	96.194337194
1916440	19	Iowa	LAWTON-BRONSON COMM SCHOOL DISTRICT	1905	118.07724437
1916530	19	Iowa	LE MARS COMM SCHOOL DISTRICT	1905	265.61748973
1916620	19	Iowa	LENOX COMM SCHOOL DISTRICT	1905	140.44464453
1916680	19	Iowa	LEWIS CENTRAL COMM SCHOOL DISTRICT	1905	63.455087823
1917100	19	Iowa	NORTH CEDAR COMM SCHOOL DISTRICT	1901	13.464406013
1917100	19	Iowa	NORTH CEDAR COMM SCHOOL DISTRICT	1902	190.29091216
1917220	19	Iowa	LINN-MAR COMM SCHOOL DISTRICT	1902	65.826707305
1917250	19	Iowa	LISBON COMM SCHOOL DISTRICT	1901	5.8426139426
1917250	19	Iowa	LISBON COMM SCHOOL DISTRICT	1902	41.978963995
1917460	19	Iowa	LOGAN-MAGNOLIA COMM SCHOOL DISTRICT	1905	129.33696179
1917550	19	Iowa	LONE TREE COMM SCHOOL DISTRICT	1902	89.533521777
1917820	19	Iowa	LOUISA-MUSCATINE COMM SCHOOL DISTRICT	1902	111.67628808
1917880	19	Iowa	LUVERNE COMM SCHOOL DISTRICT	1904	80.973186748
1918030	19	Iowa	LYNNVILLE-SULLY COMM SCHOOL DISTRICT	1903	142.10981055
1918120	19	Iowa	MFL MARMAC COMM SCHOOL DISTRICT	1904	34.965793664
1918120	19	Iowa	MFL MARMAC COMM SCHOOL DISTRICT	1901	139.3274548
1918180	19	Iowa	MADRID COMM SCHOOL DISTRICT	1903	9.8216146175
1918180	19	Iowa	MADRID COMM SCHOOL DISTRICT	1904	31.429988093
1918240	19	Iowa	MALVERN COMM SCHOOL DISTRICT	1905	105.55265661
1918300	19	Iowa	MANNING COMM SCHOOL DISTRICT	1905	112.06053966
1918330	19	Iowa	MANSON NORTHWEST WEBSTER COMM SCHOOL DISTRICT	1904	223.25334944
1918480	19	Iowa	MAPLE VALLEY COMM SCHOOL DISTRICT	1905	238.22776978
1918510	19	Iowa	MAQUOKETA COMM SCHOOL DISTRICT	1901	173.27813797
1918540	19	Iowa	MAQUOKETA VALLEY COMM SCHOOL DISTRICT	1901	171.8221096
1918630	19	Iowa	MARCUS-MERIDEN-CLEGHORN COMM SCHOOL DISTRICT	1905	234.47881303
1918690	19	Iowa	MARION INDEPENDENT SCHOOL DISTRICT	1902	3.810079815
1918720	19	Iowa	MARSHALLTOWN COMM SCHOOL DISTRICT	1904	141.07118836
1918750	19	Iowa	MARTENSDALE-ST MARYS COMM SCHOOL DISTRICT	1904	78.11808047
1918780	19	Iowa	MASON CITY COMM SCHOOL DISTRICT	1904	93.668028964
1918840	19	Iowa	MOC-FLOYD VALLEY COMM SCHOOL DISTRICT	1905	231.38249173
1918930	19	Iowa	MEDIAPOLIS COMM SCHOOL DISTRICT	1902	226.42761241
1918960	19	Iowa	MELCHER-DALLAS COMM SCHOOL DISTRICT	1903	63.843507383
1919080	19	Iowa	MESERVEY-THORNTON COMM SCHOOL DISTRICT	N	-2
1919140	19	Iowa	MID-PRAIRIE COMM SCHOOL DISTRICT	1903	9.3728580982
1919140	19	Iowa	MID-PRAIRIE COMM SCHOOL DISTRICT	1902	204.96684656
1919200	19	Iowa	MIDLAND COMM SCHOOL DISTRICT	1902	3.5050946182
1919200	19	Iowa	MIDLAND COMM SCHOOL DISTRICT	1901	237.22049948
1919440	19	Iowa	MISSOURI VALLEY COMM SCHOOL DISTRICT	1905	137.50921896
1919590	19	Iowa	MONTEZUMA COMM SCHOOL DISTRICT	1903	141.08229652
1919650	19	Iowa	MONTICELLO COMM SCHOOL DISTRICT	1902	6.897325393
1919650	19	Iowa	MONTICELLO COMM SCHOOL DISTRICT	1901	162.24848146
1919710	19	Iowa	MORAVIA COMM SCHOOL DISTRICT	1903	50.607466135
1919710	19	Iowa	MORAVIA COMM SCHOOL DISTRICT	1902	119.21465659
1919740	19	Iowa	MORMON TRAIL COMM SCHOOL DISTRICT	1903	44.991308454
1919740	19	Iowa	MORMON TRAIL COMM SCHOOL DISTRICT	1902	54.491017719
1919740	19	Iowa	MORMON TRAIL COMM SCHOOL DISTRICT	1905	103.96987747
1919770	19	Iowa	MORNING SUN COMM SCHOOL DISTRICT	1902	46.267180002
1919800	19	Iowa	MOULTON-UDELL COMM SCHOOL DISTRICT	1902	144.37791411
1919860	19	Iowa	MOUNT AYR COMM SCHOOL DISTRICT	1905	380.77536228
1919890	19	Iowa	MOUNT PLEASANT COMM SCHOOL DISTRICT	1902	246.63752149
1920040	19	Iowa	MOUNT VERNON COMM SCHOOL DISTRICT	1901	6.1488763655
1920040	19	Iowa	MOUNT VERNON COMM SCHOOL DISTRICT	1902	68.875656953
1920100	19	Iowa	MURRAY COMM SCHOOL DISTRICT	1905	131.1847329
1920130	19	Iowa	MUSCATINE COMM SCHOOL DISTRICT	1902	156.90023043
1920190	19	Iowa	NASHUA-PLAINFIELD COMM SCHOOL DISTRICT	1901	71.770511292
1920190	19	Iowa	NASHUA-PLAINFIELD COMM SCHOOL DISTRICT	1904	110.70184688
1920250	19	Iowa	NEVADA COMM SCHOOL DISTRICT	1904	116.64777366
1920340	19	Iowa	NEW HAMPTON COMM SCHOOL DISTRICT	1904	271.01497227
1920460	19	Iowa	NEW LONDON COMM SCHOOL DISTRICT	1902	66.480969024
1920490	19	Iowa	NEW MARKET COMM SCHOOL DISTRICT	1905	106.17401934
1920580	19	Iowa	NEWELL-FONDA COMM SCHOOL DISTRICT	1905	91.058476719
1920580	19	Iowa	NEWELL-FONDA COMM SCHOOL DISTRICT	1904	94.066255905
1920610	19	Iowa	NEWTON COMM SCHOOL DISTRICT	1903	195.99758802
1920670	19	Iowa	NISHNA VALLEY COMM SCHOOL DISTRICT	1905	113.65866444
1920730	19	Iowa	NORA SPRINGS-ROCK FALLS COMM SCHOOL DISTRICT	1904	88.066498764
1920760	19	Iowa	NORTH CENTRAL COMM SCHOOL DISTRICT	1904	122.24005246
1920820	19	Iowa	NORTH LINN COMM SCHOOL DISTRICT	1903	4.0034579311
1920820	19	Iowa	NORTH LINN COMM SCHOOL DISTRICT	1901	62.011150631
1920820	19	Iowa	NORTH LINN COMM SCHOOL DISTRICT	1902	84.241451312
1920830	19	Iowa	NORTH KOSSUTH COMM SCHOOL DISTRICT	1904	204.18760512
1920850	19	Iowa	NORTH MAHASKA COMM SCHOOL DISTRICT	1903	183.76821669
1920910	19	Iowa	NORTH POLK COMM SCHOOL DISTRICT	1904	0.5926062206
1920910	19	Iowa	NORTH POLK COMM SCHOOL DISTRICT	1903	92.972968215
1920940	19	Iowa	NORTH SCOTT COMM SCHOOL DISTRICT	1901	213.479025
1921000	19	Iowa	NORTH TAMA COUNTY COMM SCHOOL DISTRICT	1903	159.6630884
1921060	19	Iowa	NORTH WINNESHIEK COMM SCHOOL DISTRICT	1904	136.14543388
1921090	19	Iowa	NORTHEAST COMM SCHOOL DISTRICT	1901	172.38139675
1921120	19	Iowa	NORTHEAST HAMILTON COMM SCHOOL DISTRICT	1904	145.80583925
1921210	19	Iowa	NORTHWOOD-KENSETT COMM SCHOOL DISTRICT	1904	161.65786251
1921240	19	Iowa	NORWALK COMM SCHOOL DISTRICT	1904	43.950531817
1921600	19	Iowa	ODEBOLT-ARTHUR COMM SCHOOL DISTRICT	1905	151.07011036
1921630	19	Iowa	OELWEIN COMM SCHOOL DISTRICT	1901	129.534599
1921660	19	Iowa	OGDEN COMM SCHOOL DISTRICT	1904	143.08608689
1921720	19	Iowa	OLIN CONSOLIDATED SCHOOL DISTRICT	1901	80.00928653
1921810	19	Iowa	ORIENT-MACKSBURG COMM SCHOOL DISTRICT	1904	51.756633621
1921810	19	Iowa	ORIENT-MACKSBURG COMM SCHOOL DISTRICT	1905	129.41736564
1921840	19	Iowa	OSAGE COMM SCHOOL DISTRICT	1904	223.12683109
1921870	19	Iowa	OSKALOOSA COMM SCHOOL DISTRICT	1903	182.66462393
1922110	19	Iowa	OTTUMWA COMM SCHOOL DISTRICT	1902	130.89537596
1922380	19	Iowa	PATON-CHURDAN COMM SCHOOL DISTRICT	1904	122.04559867
1922440	19	Iowa	PEKIN COMM SCHOOL DISTRICT	1902	122.63615314
1922440	19	Iowa	PEKIN COMM SCHOOL DISTRICT	1903	138.32607333
1922470	19	Iowa	PELLA COMM SCHOOL DISTRICT	1903	187.85229854
1922530	19	Iowa	PERRY COMM SCHOOL DISTRICT	1904	128.57636599
1923110	19	Iowa	PLEASANT VALLEY COMM SCHOOL DISTRICT	1901	41.687232914
1923160	19	Iowa	PLEASANTVILLE COMM SCHOOL DISTRICT	1904	24.27925419
1923160	19	Iowa	PLEASANTVILLE COMM SCHOOL DISTRICT	1903	92.62444382
1923190	19	Iowa	POCAHONTAS AREA COMM SCHOOL DISTRICT	1904	264.6735927
1923220	19	Iowa	POMEROY-PALMER COMM SCHOOL DISTRICT	1904	137.98017172
1923340	19	Iowa	POSTVILLE COMM SCHOOL DISTRICT	1901	44.596086932
1923340	19	Iowa	POSTVILLE COMM SCHOOL DISTRICT	1904	79.24586639
1923760	19	Iowa	PRESCOTT COMM SCHOOL DISTRICT	1905	79.944776964
1923790	19	Iowa	PRESTON COMM SCHOOL DISTRICT	1901	66.843500433
1924000	19	Iowa	RED OAK COMM SCHOOL DISTRICT	1905	199.41272469
1924120	19	Iowa	REMSEN-UNION COMM SCHOOL DISTRICT	1905	177.94779937
1924150	19	Iowa	RICEVILLE COMM SCHOOL DISTRICT	1904	220.10501979
1924660	19	Iowa	ROCK VALLEY COMM SCHOOL DISTRICT	1905	124.8302664
1924720	19	Iowa	ROCKWELL CITY-LYTTON COMM SCHOOL DISTRICT	1905	29.099967259
1924720	19	Iowa	ROCKWELL CITY-LYTTON COMM SCHOOL DISTRICT	1904	169.40286828
1924750	19	Iowa	ROCKWELL-SWALEDALE COMM SCHOOL DISTRICT	1904	126.59101471
1924870	19	Iowa	ROLAND-STORY COMM SCHOOL DISTRICT	1904	93.230397979
1924960	19	Iowa	RUDD-ROCKFORD-MARBLE RK COMM SCHOOL DISTRICT	1904	202.90368604
1924990	19	Iowa	RUSSELL COMM SCHOOL DISTRICT	1902	6.2143724218
1924990	19	Iowa	RUSSELL COMM SCHOOL DISTRICT	1903	82.565036595
1925050	19	Iowa	RUTHVEN-AYRSHIRE COMM SCHOOL DISTRICT	1905	21.759718578
1925050	19	Iowa	RUTHVEN-AYRSHIRE COMM SCHOOL DISTRICT	1904	73.81271921
1925140	19	Iowa	SAC COMM SCHOOL DISTRICT	1905	98.320298009
1925200	19	Iowa	ST ANSGAR COMM SCHOOL DISTRICT	1904	228.91049881
1925320	19	Iowa	SAYDEL COMM SCHOOL DISTRICT	1903	22.892133091
1925380	19	Iowa	SCHALLER-CRESTLAND COMM SCHOOL DISTRICT	1905	167.70500134
1925410	19	Iowa	SCHLESWIG COMM SCHOOL DISTRICT	1905	124.71809869
1925560	19	Iowa	SENTRAL COMM SCHOOL DISTRICT	1904	136.84441472
1925590	19	Iowa	SERGEANT BLUFF-LUTON COMM SCHOOL DISTRICT	1905	56.173752156
1925620	19	Iowa	SEYMOUR COMM SCHOOL DISTRICT	1902	215.6833383
1925920	19	Iowa	SHEFFIELD CHAPIN MESERVEY THORNTON CSD	N	-2
1925980	19	Iowa	SHELDON COMM SCHOOL DISTRICT	1905	186.81107287
1926070	19	Iowa	SHENANDOAH COMM SCHOOL DISTRICT	1905	146.97111377
1926250	19	Iowa	SIDNEY COMM SCHOOL DISTRICT	1905	139.53034068
1926280	19	Iowa	SIGOURNEY COMM SCHOOL DISTRICT	1903	168.48040531
1926370	19	Iowa	SIOUX CENTER COMM SCHOOL DISTRICT	1905	106.84421974
1926400	19	Iowa	SIOUX CITY COMM SCHOOL DISTRICT	1905	67.301036144
1926580	19	Iowa	SOLON COMM SCHOOL DISTRICT	1902	83.27072944
1926610	19	Iowa	SOUTH CLAY COMM SCHOOL DISTRICT	1905	122.63965277
1926640	19	Iowa	SOUTH HAMILTON COMM SCHOOL DISTRICT	1904	203.37353223
1926670	19	Iowa	SOUTH PAGE COMM SCHOOL DISTRICT	1905	139.16861468
1926730	19	Iowa	SOUTH TAMA COUNTY COMM SCHOOL DISTRICT	1903	252.82524823
1926790	19	Iowa	SOUTH WINNESHIEK COMM SCHOOL DISTRICT	1904	181.464901
1926820	19	Iowa	SOUTHEAST POLK COMM SCHOOL DISTRICT	1903	112.32476521
1926850	19	Iowa	SOUTHEAST WARREN COMM SCHOOL DISTRICT	1903	14.973059335
1926850	19	Iowa	SOUTHEAST WARREN COMM SCHOOL DISTRICT	1904	138.46006931
1926910	19	Iowa	SPENCER COMM SCHOOL DISTRICT	1905	107.47041801
1927000	19	Iowa	SPIRIT LAKE COMM SCHOOL DISTRICT	1905	90.557608761
1927060	19	Iowa	SPRINGVILLE COMM SCHOOL DISTRICT	1902	58.314404932
1927240	19	Iowa	STANTON COMM SCHOOL DISTRICT	1905	78.952807503
1927270	19	Iowa	STARMONT COMM SCHOOL DISTRICT	1901	209.44586075
1927390	19	Iowa	STORM LAKE COMM SCHOOL DISTRICT	1905	84.404785659
1927480	19	Iowa	STRATFORD COMM SCHOOL DISTRICT	1904	78.084793829
1927500	19	Iowa	WEST CENTRAL VALLEY COMM SCHOOL DISTRICT	1904	60.17628267
1927500	19	Iowa	WEST CENTRAL VALLEY COMM SCHOOL DISTRICT	1905	174.31625204
1927600	19	Iowa	SUMNER COMM SCHOOL DISTRICT	1904	8.1297214504
1927600	19	Iowa	SUMNER COMM SCHOOL DISTRICT	1901	125.6352265
1927810	19	Iowa	TERRIL COMM SCHOOL DISTRICT	1904	19.560800668
1927810	19	Iowa	TERRIL COMM SCHOOL DISTRICT	1905	106.11509397
1927870	19	Iowa	TIPTON COMM SCHOOL DISTRICT	1902	138.85493176
1927900	19	Iowa	TITONKA CONSOLIDATED SCHOOL DISTRICT	1904	90.791723359
1927960	19	Iowa	TREYNOR COMM SCHOOL DISTRICT	1905	95.178080748
1927990	19	Iowa	TRI-CENTER COMM SCHOOL DISTRICT	1905	170.43030006
1928020	19	Iowa	TRI-COUNTY COMM SCHOOL DISTRICT	1903	127.75204171
1928050	19	Iowa	TRIPOLI COMM SCHOOL DISTRICT	1901	98.249264089
1928110	19	Iowa	TURKEY VALLEY COMM SCHOOL DISTRICT	1901	47.243129698
1928110	19	Iowa	TURKEY VALLEY COMM SCHOOL DISTRICT	1904	120.67433672
1928170	19	Iowa	TWIN CEDARS COMM SCHOOL DISTRICT	1903	127.39649257
1928200	19	Iowa	TWIN RIVERS COMM SCHOOL DISTRICT	1904	102.24300576
1928230	19	Iowa	UNDERWOOD COMM SCHOOL DISTRICT	1905	124.65325399
1928560	19	Iowa	UNITED COMM SCHOOL DISTRICT	1904	127.6230774
1928680	19	Iowa	URBANDALE COMM SCHOOL DISTRICT	1903	8.6503794612
1928710	19	Iowa	VALLEY COMM SCHOOL DISTRICT	1901	155.05281028
1928980	19	Iowa	VAN BUREN COMM SCHOOL DISTRICT	1902	359.44000358
1929010	19	Iowa	VAN METER COMM SCHOOL DISTRICT	1904	57.946955353
1929100	19	Iowa	VENTURA COMM SCHOOL DISTRICT	1904	89.678023605
1929280	19	Iowa	VILLISCA COMM SCHOOL DISTRICT	1905	159.01285566
1929310	19	Iowa	VINTON-SHELLSBURG COMM SCHOOL DISTRICT	1901	2.4822234698
1929310	19	Iowa	VINTON-SHELLSBURG COMM SCHOOL DISTRICT	1903	227.80263113
1929490	19	Iowa	WACO COMM SCHOOL DISTRICT	1902	121.47697402
1929580	19	Iowa	WALL LAKE VIEW AUBURN COMM SCHOOL DISTRICT	1905	172.29675427
1929640	19	Iowa	WALNUT COMM SCHOOL DISTRICT	1905	86.7281582
1929730	19	Iowa	WAPELLO COMM SCHOOL DISTRICT	1902	132.99195595
1929760	19	Iowa	WAPSIE VALLEY COMM SCHOOL DISTRICT	1901	125.74338723
1930240	19	Iowa	WASHINGTON COMM SCHOOL DISTRICT	1902	205.05203808
1930480	19	Iowa	WATERLOO COMM SCHOOL DISTRICT	1901	138.62730677
1930510	19	Iowa	WAUKEE COMM SCHOOL DISTRICT	1904	54.827347077
1930540	19	Iowa	WAVERLY-SHELL ROCK COMM SCHOOL DISTRICT	1901	161.33453746
1930560	19	Iowa	WAYNE COMM SCHOOL DISTRICT	1903	0.6079599597
1930560	19	Iowa	WAYNE COMM SCHOOL DISTRICT	1902	273.52271748
1930630	19	Iowa	WEBSTER CITY COMM SCHOOL DISTRICT	1904	197.55192186
1930720	19	Iowa	WEST BEND-MALLARD COMM SCHOOL DISTRICT	1904	190.91969384
1930750	19	Iowa	WEST BRANCH COMM SCHOOL DISTRICT	1902	126.56087055
1930780	19	Iowa	WEST BURLINGTON IND SCHOOL DISTRICT	1902	2.9358699731
1930870	19	Iowa	WEST CENTRAL COMM SCHOOL DISTRICT	1901	131.61612023
1930900	19	Iowa	WEST DELAWARE COUNTY COMM SCHOOL DISTRICT	1901	223.28170285
1930930	19	Iowa	WEST DES MOINES COMM SCHOOL DISTRICT	1904	2.3200968499
1930930	19	Iowa	WEST DES MOINES COMM SCHOOL DISTRICT	1903	33.672576475
1930960	19	Iowa	WEST HARRISON COMM SCHOOL DISTRICT	1905	234.61599629
1930990	19	Iowa	WEST LIBERTY COMM SCHOOL DISTRICT	1902	146.9224008
1931020	19	Iowa	WEST LYON COMM SCHOOL DISTRICT	1905	247.06406362
1931080	19	Iowa	WEST MARSHALL COMM SCHOOL DISTRICT	1904	191.89003964
1931110	19	Iowa	WEST MONONA COMM SCHOOL DISTRICT	1905	230.83584943
1931290	19	Iowa	WEST SIOUX COMM SCHOOL DISTRICT	1905	156.20787046
1931350	19	Iowa	WESTERN DUBUQUE COMM SCHOOL DISTRICT	1901	555.36362022
1931470	19	Iowa	WESTWOOD COMM SCHOOL DISTRICT	1905	213.85797888
1931620	19	Iowa	WHITING COMM SCHOOL DISTRICT	1905	98.940834861
1931680	19	Iowa	WILLIAMSBURG COMM SCHOOL DISTRICT	1902	3.1935074603
1931680	19	Iowa	WILLIAMSBURG COMM SCHOOL DISTRICT	1903	203.37450868
1931800	19	Iowa	WILTON COMM SCHOOL DISTRICT	1902	97.067582553
1931830	19	Iowa	WINFIELD-MT UNION COMM SCHOOL DISTRICT	1902	97.414305394
1931860	19	Iowa	WINTERSET COMM SCHOOL DISTRICT	1904	277.07491656
1931890	19	Iowa	WODEN-CRYSTAL LAKE COMM SCHOOL DISTRICT	1904	79.08458572
1931920	19	Iowa	WOODBINE COMM SCHOOL DISTRICT	1905	145.11987584
1931950	19	Iowa	WOODBURY CENTRAL COMM SCHOOL DISTRICT	1905	134.90372156
1932010	19	Iowa	WOODWARD-GRANGER COMM SCHOOL DISTRICT	1903	8.8686399319
1932010	19	Iowa	WOODWARD-GRANGER COMM SCHOOL DISTRICT	1904	98.391777877
1999001	19	Iowa	AEA 1 KEYSTONE AEA	N	-2
1999005	19	Iowa	AEA 8 PRAIRIE LAKES AEA	N	-2
1999007	19	Iowa	AEA 267	N	-2
1999009	19	Iowa	AEA 9 MISSISSIPPI BEND AEA	N	-2
1999010	19	Iowa	AEA 10 GRANT WOOD AEA	N	-2
1999011	19	Iowa	AEA 11 HEARTLAND AEA	N	-2
1999012	19	Iowa	NORTHWEST AEA	N	-2
1999013	19	Iowa	AEA 13 LOESS HILLS AEA	N	-2
1999014	19	Iowa	AEA 14 GREEN VALLEY AEA	N	-2
1999015	19	Iowa	GREAT PRAIRIE AEA	N	-2
1999016	19	Iowa	AEA 16 GREAT RIVER AEA	N	-2
1999017	19	Iowa	PCM COMM SCHOOL DISTRICT	1903	189.55522844
1999019	19	Iowa	SOUTHEAST WEBSTER GRAND COMM SCHOOL DISTRICT	1904	219.51535644
2000001	20	Kansas	SOUTHEAST OF SALINE	2001	232.22916786
2000002	20	Kansas	SMOKY VALLEY	2001	392.605014
2000003	20	Kansas	WAMEGO	2001	51.215511423
2000003	20	Kansas	WAMEGO	2002	138.28206038
2000004	20	Kansas	ROCK CREEK	2002	245.17904098
2000005	20	Kansas	SABETHA	2001	26.553475151
2000005	20	Kansas	SABETHA	2002	278.88281065
2000006	20	Kansas	HIAWATHA	2002	326.58357606
2000007	20	Kansas	SMITH CENTER	2001	597.31841422
2000008	20	Kansas	LAWRENCE GARDNER HIGH SCHOOL	N	-2
2000009	20	Kansas	NORTH BELOIT HIGH	N	-2
2000010	20	Kansas	BERT NASH INTERMEDIATE	N	-2
2000011	20	Kansas	LARNED STATE HOSPITAL	N	-2
2000012	20	Kansas	BARNES	2001	384.12044033
2000013	20	Kansas	TRIPLAINS	2001	660.34409851
2000014	20	Kansas	CENTRAL HEIGHTS	2002	133.06558718
2000015	20	Kansas	OTTAWA	2002	116.21333188
2000016	20	Kansas	MARYSVILLE	2001	339.17632784
2000017	20	Kansas	SCOTT COUNTY	2001	753.56132847
2000018	20	Kansas	SCHOOL FOR BLIND	N	-2
2000019	20	Kansas	SCHOOL FOR DEAF	N	-2
2000020	20	Kansas	WESTERN PLAINS	2001	592.92723364
2000021	20	Kansas	KS STATE INDUSTRIAL REFORMATORY	N	-2
2000022	20	Kansas	ST. HOSP. TRAINING CENTER PARSONS	N	-2
2000023	20	Kansas	RAWLINS COUNTY	2001	732.8436819
2000024	20	Kansas	DEPARTMENT OF CORRECTIONS	N	-2
2000025	20	Kansas	KS. STATE PENITENTIARY	N	-2
2000026	20	Kansas	RAINBOWS MENTAL HEALTH CTR.	N	-2
2000027	20	Kansas	WINFIELD CORRECTIONAL CENTER	N	-2
2000028	20	Kansas	WASHINGTON CO. SCHOOLS	N	-2
2000029	20	Kansas	ROCK HILLS	N	-2
2000030	20	Kansas	REPUBLIC COUNTY	N	-2
2000031	20	Kansas	KS. CORRECTIONAL VOC TECH CTR	N	-2
2000032	20	Kansas	SPECIAL SERVICES COOPERATIVE OF WAMEGO	N	-2
2000033	20	Kansas	BROWN CO KS SPECIAL ED COOP	N	-2
2000034	20	Kansas	SOUTHEAST KANSAS SPECIAL EDUCATION INTERLOCAL	N	-2
2000035	20	Kansas	TRI COUNTY SPECIAL EDUCATION COOP	N	-2
2000036	20	Kansas	KNI	N	-2
2000037	20	Kansas	DONIPHAN CO EDUCATION COOP	N	-2
2000038	20	Kansas	CENTRAL KANSAS COOPERATIVE IN EDUCATION	N	-2
2000039	20	Kansas	NORTHEAST KS EDUCATION SERV CNTR	N	-2
2000040	20	Kansas	MARION COUNTY SPECIAL EDUCATION	N	-2
2000041	20	Kansas	SOUTHEAST KS EDUCATION SERV CENTER	N	-2
2000042	20	Kansas	RENO COUNTY EDUCATION COOPERATIVE	N	-2
2000043	20	Kansas	SUMNER CO EDUCATIONAL SERVICES	N	-2
2000044	20	Kansas	HIGH PLAINS EDUCATIONAL COOPERATIVE	N	-2
2000045	20	Kansas	THREE LAKES EDUCATIONAL COOPERATIVE	N	-2
2000046	20	Kansas	NORTHWEST KS EDUCATIONAL SERV CNTR	N	-2
2000047	20	Kansas	SOUTHWEST KANSAS AREA COOPERATIVE	N	-2
2000048	20	Kansas	ANW SPECIAL EDUCATION COOPERATIVE	N	-2
2000049	20	Kansas	SOUTH CENTRAL KS EDUCATION SERV CNT	N	-2
2000050	20	Kansas	COWLEY COUNTY SPECIAL SERVICES COOPERATIVE	N	-2
2000051	20	Kansas	EAST CENTRAL KS COOP IN EDUC	N	-2
2000052	20	Kansas	NORTH CENTRAL KANSAS SP. ED. COOP. INTERLOCAL	N	-2
2000053	20	Kansas	SOUTH CENTRAL KS SPEC ED COOP	N	-2
2003180	20	Kansas	ABILENE	2001	101.10804181
2003200	20	Kansas	AUBURN WASHBURN	2002	123.16565212
